u-0000001|admin01|admin123|Nguyen Minh Admin|minh.admin@claimshield.com|Admin|Active
u-0000002|admin02|admin456|Tran Thi Boss|thi.boss@claimshield.com|Admin|Active
u-0000003|officer01|off123|Le Van Officer|van.officer@claimshield.com|ClaimsOfficer|Active
u-0000004|officer02|off456|Pham Thi Agent|thi.agent@claimshield.com|ClaimsOfficer|Active
u-0000005|officer03|off789|Hoang Van Tri|van.tri@claimshield.com|ClaimsOfficer|Active
u-0000006|nguyenva|pass123|Nguyen Van An|van.an@gmail.com|Customer|Active|c-1000001
u-0000007|tranthib|pass456|Tran Thi Binh|thi.binh@gmail.com|Customer|Active|c-1000002
u-0000008|levanc|pass789|Le Van Cuong|van.cuong@gmail.com|Customer|Active|c-1000003
u-0000009|phamthid|pass101|Pham Thi Dung|thi.dung@gmail.com|Customer|Active|c-1000004
u-0000010|hoangvane|pass202|Hoang Van Em|van.em@gmail.com|Customer|Active|c-1000005
u-0000011|vothif|pass303|Vo Thi Phuong|thi.phuong@gmail.com|Customer|Active|c-1000006
u-0000012|dangvang|pass404|Dang Van Giang|van.giang@gmail.com|Customer|Active|c-1000007
u-0000013|buithih|pass505|Bui Thi Huong|thi.huong@gmail.com|Customer|Active|c-1000008
u-0000014|dovani|pass606|Do Van Ich|van.ich@gmail.com|Customer|Active|c-1000009
u-0000015|ngothik|pass707|Ngo Thi Kieu|thi.kieu@gmail.com|Customer|Active|c-1000010
u-0000016|lyvank|pass808|Ly Van Kha|van.kha@gmail.com|Customer|Active|c-1000011
u-0000017|truongthil|pass909|Truong Thi Lan|thi.lan@gmail.com|Customer|Active|c-1000012
u-0000018|nguyentl|pass010|Nguyen Thi Lan|thi.lan.dep@gmail.com|Customer|Active|c-2000001|c-1000001
u-0000019|tranvm|pass020|Tran Van Minh|van.minh@gmail.com|Customer|Active|c-2000002|c-1000002
u-0000020|lethn|pass030|Le Thi Ngoc|thi.ngoc@gmail.com|Customer|Active|c-2000003|c-1000003
u-0000021|phamvo|pass040|Pham Van Oanh|van.oanh@gmail.com|Customer|Active|c-2000004|c-1000004
u-0000022|hoangtp|pass050|Hoang Thi Phuc|thi.phuc@gmail.com|Customer|Active|c-2000005|c-1000001
u-0000023|voqv|pass060|Vo Van Quang|van.quang@gmail.com|Customer|Active|c-2000006|c-1000006
u-0000024|dangtr|pass070|Dang Thi Rong|thi.rong@gmail.com|Customer|Active|c-2000007|c-1000007
u-0000025|buivs|pass080|Bui Van Son|van.son@gmail.com|Customer|Active|c-2000008|c-1000008
u-0000026|doanvq|pass080|Doan Van Quy|quy.doan@gmail.com|Customer|Inactive|c-1000001
